,cycle index,p_a,p_b,p_c,q_a,q_b,q_c,r_a,r_b,r_c,s_a,s_b,s_c,t_a,t_b,t_c
43,43,2000.0,159.0,-1.0,-2000.0,163.0,-1.0,1560.0394134420017,148.22662853775967,-0.006653879935115076,-2000.0,199.0,-1.0,2000.0,204.0,-1.0
44,44,1624.3957996177107,147.95492767508463,-0.0032591388680192563,-2268.3059327439532,226.0,-0.00038843376200330403,20875.16594577921,297.36959851068735,-0.01113023488811963,-5695.6385953538675,322.39039224107586,-0.01234063292327041,2000.0,475.0,-1.0
45,45,1391.0601491459142,147.5846621648152,-0.0049348414594845074,-2000.0,204.0,-1.0,2000.0,205.0,-1.0,-2271.485656049157,231.0,-0.0003696653486122252,20646.008705985336,297.70422766922223,-0.013346201035190915
46,46,1859.3407127417784,145.60246855625005,-0.0033983124394505165,-2468.2523015253005,228.0,-0.00032550963235477496,20761.717107258537,299.42143039267444,-0.013089231497146735,-3887.16842146764,313.0,-0.00033852873833258354,2000.0,500.0,-1.0
47,47,2067.729395522026,144.4322067973502,-0.00471502480627946,-2053.33736976207,223.0,-0.00030571461013255587,20458.97622800215,298.33848905658886,-0.011631662671249179,-3570.766093736814,313.0,-0.0005150164838783748,3377.565098633428,564.3177697760337,-0.00042543542320382755
48,48,1869.8425068551321,146.1497704282283,-0.0035737000540405177,-2000.0,195.0,-1.0,2000.0,196.0,-1.0,-2000.0,214.0,-1.0,2000.0,218.0,-1.0
49,49,1918.9832251619796,145.40440671603773,-0.0021027827203516803,-2000.0,205.0,-1.0,2000.0,207.0,-1.0,-2330.4591929983067,230.99999999999736,-0.00035360561233802246,19791.375065070326,298.6665899751794,-0.01170213601956488
50,50,1962.3974264175422,147.07559134012408,-0.0038274536292386627,-2294.5814431398135,231.0,-0.0003474336725574923,20378.77043699244,298.09671075372165,-0.011523724172298272,-5279.877593400673,323.4837748491134,-0.01036584518733928,2000.0,435.0,-1.0
51,51,702.1888681776111,158.30855770843647,-6.771509811261933,-2405.048393263806,225.0,-0.0004418723277589485,20642.554709695218,297.52139683831615,-0.011417832231468146,-3037.7393377503445,312.0,-0.0002619343580048266,3658.763374732067,567.0870279004628,-0.00039587450787734765
52,52,1646.6234938017349,149.1638766363306,-0.0037465606670903213,-2000.0,206.0,-1.0,2000.0,209.0,-1.0,-2283.3407435833515,230.0,-0.00039599993869727346,20784.014071520734,297.53670557525123,-0.012260977943067406
53,53,1579.9535155131036,149.17121018393917,-0.0038141014928269744,-2000.0,206.0,-1.0,2000.0,207.0,-1.0,-2010.7079877460028,235.0,-0.00029553180957199795,21443.312642540044,299.2614001725001,-0.012399663127592692
54,54,1958.5766710889168,148.7603648885877,-0.0033247036428497773,-2036.0185663022862,233.0,-0.000352912291123047,20351.198115170522,299.39407123368505,-0.011339446374907448,-3838.3698779286533,314.0,-0.0008255258713242636,2000.0,503.0,-1.0
55,55,2177.2182134396553,145.6006075210246,-0.002886218989117502,-2000.0,204.0,-1.0,2000.0,209.0,-1.0,-2236.380087776104,231.0,-0.0003451434103955492,20361.457000605136,297.5330190212429,-0.011630903900726245
56,56,1925.7597711836559,142.61643557203763,-0.0022813009051174944,-2339.776438052907,232.9999999999994,-0.00030700376757926065,20713.28628909575,298.1188594580651,-0.012251078204755935,-3363.9261574983457,312.0,-0.0002271272396290418,2000.0,494.0,-1.0
57,57,1998.4212035593512,142.83976325777172,-0.003247667568897874,-2074.0573966549828,228.99999999999994,-0.0001620874845088321,20800.44163576339,298.3356328865582,-0.01126904787652994,-3227.0732688198827,313.0,-0.000256836102814698,2000.0,496.0,-1.0
58,58,2205.521589596457,144.7367272639142,-0.0031169855045606247,-2442.141975651071,229.9999999999947,-0.0003205268374813544,21024.620734108208,298.84409733124045,-0.01281996888141758,-3566.56789016266,313.0,-0.0002228364932365449,2000.0,506.0,-1.0
59,59,1994.0631117059395,142.33755943304809,-0.0023987319812005473,-2163.5665708754445,227.0,-0.0003022046460318856,20960.99474354315,297.9124872638549,-0.012118698528745838,-2890.3355179733417,312.0,-0.00026108156573664013,2000.0,523.0,-1.0
60,60,1641.0501911187769,149.8031239502128,-0.002110419164349351,-2163.708968548254,233.0,-0.000375209045493165,21042.92021827728,298.8337514594624,-0.012194757399469987,-3334.0545408543444,313.0,-0.00033301537823118155,2000.0,502.0,-1.0
61,61,2076.099771261361,146.89957493276376,-0.003320463018423192,-2118.3890677640297,232.0,-0.0003661585726768529,21092.685853155534,298.0649592214546,-0.011544091491701911,-5648.995886261206,322.1131744420882,-0.009808479008378092,2000.0,512.0,-1.0
62,62,1740.2973116218466,147.74598207345784,-0.005910306344386763,-2292.4738779578033,224.99999999999997,-0.0003506304768881985,20916.932724923045,297.4142740705462,-0.011918880003735245,-5362.334326088169,323.7565703311898,-0.010243385212445019,2000.0,487.0,-1.0
